ID_Pedido,Produto,Categoria,Data,Quantidade,Valor Unitário,Localidade
396104,Azeite,Alimentos,2024-03-28,41,28.72,Nordeste
373394,Azeite,Alimentos,2023-03-12,45,23.9,Sul
680522,Feijão,Alimentos,2022-12-11,8,15.0,Nordeste
462718,Café,Alimentos,2023-07-11,36,12.42,Nordeste
298110,Maçã,Hortifruti,2024-03-25,28,4.15,Centro-Oeste
181933,Café,Alimentos,2024-02-22,38,6.63,Nordeste
457167,Carne,Carnes,2024-02-21,10,135.32,Nordeste
617184,Banana,Hortifruti,2023-12-30,15,5.02,Sudeste
817787,Shampoo,Higiene Pessoal,2023-06-15,10,56.9,Sul
511333,Azeite,Alimentos,2024-05-22,41,22.41,Nordeste
658400,Laranja,Hortifruti,2022-12-20,3,7.51,Norte
330650,Ovos,Alimentos,2023-08-02,15,11.52,Norte
823723,Maçã,Hortifruti,2022-11-21,10,10.81,Norte
642955,Macarrão,Alimentos,2022-10-11,25,17.79,Centro-Oeste
334382,Macarrão,Alimentos,2023-01-31,10,26.42,Sudeste
620695,Laranja,Hortifruti,2024-01-03,7,1.84,Norte
386804,Amaciante,Limpeza,2024-06-11,38,52.96,Centro-Oeste
706322,Amaciante,Limpeza,2023-10-20,45,32.55,Centro-Oeste
197033,Feijão,Alimentos,2023-02-11,45,18.05,Norte
260170,Macarrão,Alimentos,2023-08-19,4,25.65,Nordeste
968761,Amaciante,Limpeza,2023-10-07,8,59.92,Sudeste
758499,Feijão,Alimentos,2022-11-13,42,4.74,Sul
414990,Café,Alimentos,2023-12-06,37,15.63,Sudeste
343153,Tomate,Hortifruti,2023-05-29,23,9.23,Norte
551879,Alface,Hortifruti,2023-04-15,26,7.62,Centro-Oeste
714614,Peixe,Carnes,2023-10-05,17,25.81,Nordeste
836285,Café,Alimentos,2023-11-04,45,19.45,Norte
255135,Arroz,Alimentos,2023-08-11,34,2.04,Nordeste
917912,Amaciante,Limpeza,2023-02-08,29,26.23,Sul
454200,Banana,Hortifruti,2024-08-07,45,7.93,Sul
751027,Feijão,Alimentos,2023-09-17,10,12.78,Centro-Oeste
160601,Frango,Carnes,2023-11-09,5,28.86,Centro-Oeste
457349,Frango,Carnes,2024-06-18,39,82.74,Centro-Oeste
104502,Carne,Carnes,2023-04-02,26,23.56,Sudeste
963984,Banana,Hortifruti,2024-03-30,23,2.38,Sudeste
358444,Carne,Carnes,2024-10-01,4,45.73,Centro-Oeste
701967,Maçã,Hortifruti,2023-09-06,26,4.3,Nordeste
297598,Leite,Alimentos,2023-07-08,38,26.94,Nordeste
406952,Alface,Hortifruti,2023-11-09,37,14.08,Nordeste
768871,Café,Alimentos,2022-10-10,9,15.91,Centro-Oeste
885183,Feijão,Alimentos,2022-12-09,33,6.39,Nordeste
470745,Carne,Carnes,2023-09-26,32,124.67,Nordeste
588630,Feijão,Alimentos,2023-12-13,15,16.68,Centro-Oeste
744444,Condicionador,Higiene Pessoal,2024-05-25,47,31.55,Sul
627531,Alface,Hortifruti,2023-10-09,10,2.61,Sudeste
373542,Leite,Alimentos,2023-12-25,31,24.46,Sul
128861,Banana,Hortifruti,2024-04-07,48,1.74,Sul
406211,Frango,Carnes,2023-05-27,34,71.08,Norte
608261,Amaciante,Limpeza,2024-07-09,34,48.82,Nordeste
191802,Arroz,Alimentos,2024-04-13,19,24.24,Sudeste
108722,Feijão,Alimentos,2023-04-12,21,19.68,Sudeste
518872,Leite,Alimentos,2023-02-28,25,20.98,Sul
498363,Café,Alimentos,2023-07-27,33,4.64,Norte
604037,Banana,Hortifruti,2023-01-29,19,14.2,Sudeste
323454,Peixe,Carnes,2023-03-29,12,143.64,Norte
760216,Arroz,Alimentos,2023-01-07,48,6.18,Nordeste
594302,Frango,Carnes,2022-12-27,12,31.58,Nordeste
818418,Laranja,Hortifruti,2024-02-10,32,13.81,Sul
638062,Shampoo,Higiene Pessoal,2024-06-27,37,27.45,Nordeste
918660,Macarrão,Alimentos,2024-03-07,11,24.52,Nordeste
633669,Banana,Hortifruti,2024-05-17,1,9.87,Norte
375048,Shampoo,Higiene Pessoal,2023-01-05,12,24.28,Nordeste
333940,Arroz,Alimentos,2024-06-18,31,15.07,Norte
603010,Banana,Hortifruti,2022-10-31,28,14.8,Sul
723394,Leite,Alimentos,2024-03-15,30,3.54,Nordeste
145629,Laranja,Hortifruti,2022-11-17,43,14.87,Centro-Oeste
475113,Shampoo,Higiene Pessoal,2023-12-24,40,32.28,Sudeste
708388,Frango,Carnes,2023-12-24,17,103.87,Sul
294593,Laranja,Hortifruti,2023-05-29,48,11.67,Sudeste
537040,Azeite,Alimentos,2024-07-29,40,9.72,Nordeste
416615,Carne,Carnes,2023-12-17,7,66.66,Centro-Oeste
396305,Tomate,Hortifruti,2024-02-12,21,2.87,Sul
908780,Shampoo,Higiene Pessoal,2023-11-18,13,19.06,Sul
642491,Banana,Hortifruti,2024-04-15,32,5.42,Norte
506131,Leite,Alimentos,2023-01-13,3,14.57,Nordeste
119014,Arroz,Alimentos,2023-04-25,50,10.19,Nordeste
834749,Feijão,Alimentos,2024-04-06,28,23.31,Sul
332624,Shampoo,Higiene Pessoal,2024-08-06,31,76.96,Norte
157237,Condicionador,Higiene Pessoal,2022-12-10,38,74.05,Sudeste
894871,Carne,Carnes,2022-12-20,45,114.93,Centro-Oeste
651791,Ovos,Alimentos,2023-02-11,44,13.4,Centro-Oeste
735035,Banana,Hortifruti,2023-02-27,27,7.06,Nordeste
676839,Macarrão,Alimentos,2022-12-16,40,29.04,Nordeste
732153,Banana,Hortifruti,2022-10-23,21,6.51,Norte
450483,Banana,Hortifruti,2023-11-06,17,3.44,Sudeste
734401,Ovos,Alimentos,2022-11-22,38,6.62,Norte
152685,Laranja,Hortifruti,2023-11-16,19,5.1,Sudeste
344216,Feijão,Alimentos,2024-04-16,23,15.24,Norte
972310,Leite,Alimentos,2024-08-07,4,9.36,Sul
558638,Ovos,Alimentos,2023-10-13,36,13.02,Sudeste
216892,Macarrão,Alimentos,2023-07-30,23,11.82,Nordeste
678180,Macarrão,Alimentos,2023-12-25,41,10.72,Sul
462108,Tomate,Hortifruti,2024-03-03,31,5.19,Centro-Oeste
276437,Leite,Alimentos,2024-06-12,47,21.26,Nordeste
458363,Frango,Carnes,2024-06-23,45,119.94,Norte
189156,Amaciante,Limpeza,2023-02-16,4,41.13,Centro-Oeste
961591,Azeite,Alimentos,2023-02-21,16,28.3,Sul
102580,Maçã,Hortifruti,2023-06-06,15,3.69,Centro-Oeste
103606,Macarrão,Alimentos,2023-06-24,2,7.57,Sul
593983,Feijão,Alimentos,2023-01-19,27,10.2,Norte
493070,Peixe,Carnes,2023-02-23,25,42.59,Nordeste
945406,Sabão em Pó,Limpeza,2023-04-28,8,22.09,Centro-Oeste
641743,Frango,Carnes,2024-05-04,44,56.61,Nordeste
355872,Leite,Alimentos,2024-01-20,50,29.43,Nordeste
563225,Ovos,Alimentos,2023-06-05,45,7.07,Norte
687140,Banana,Hortifruti,2023-11-07,38,7.29,Sul
957342,Frango,Carnes,2024-09-06,21,75.22,Nordeste
997700,Laranja,Hortifruti,2022-12-24,48,8.68,Norte
794664,Amaciante,Limpeza,2024-04-05,14,39.14,Nordeste
903208,Amaciante,Limpeza,2023-11-17,49,22.39,Norte
695405,Frango,Carnes,2023-09-07,7,37.89,Centro-Oeste
377372,Leite,Alimentos,2023-03-10,10,16.87,Centro-Oeste
241970,Sabão em Pó,Limpeza,2024-05-17,13,30.27,Centro-Oeste
582795,Arroz,Alimentos,2024-08-10,40,24.94,Centro-Oeste
649423,Detergente,Limpeza,2023-06-22,1,25.05,Sul
482475,Alface,Hortifruti,2024-01-14,50,14.61,Norte
223089,Arroz,Alimentos,2024-03-17,20,27.65,Centro-Oeste
682021,Detergente,Limpeza,2023-08-05,16,52.11,Sul
467944,Tomate,Hortifruti,2024-03-05,21,12.08,Nordeste
991779,Condicionador,Higiene Pessoal,2023-04-14,46,16.22,Sul
720053,Shampoo,Higiene Pessoal,2023-01-11,36,60.73,Sudeste
347044,Tomate,Hortifruti,2024-01-16,43,14.73,Sul
118545,Alface,Hortifruti,2022-10-10,29,14.65,Centro-Oeste
326460,Café,Alimentos,2023-02-12,27,14.86,Sudeste
809667,Carne,Carnes,2022-10-21,22,66.38,Centro-Oeste
987639,Ovos,Alimentos,2023-07-17,38,15.78,Sul
268967,Condicionador,Higiene Pessoal,2022-10-19,28,76.53,Sudeste
733783,Frango,Carnes,2022-10-21,6,53.7,Nordeste
175058,Banana,Hortifruti,2023-01-21,24,8.45,Norte
170225,Condicionador,Higiene Pessoal,2023-07-20,18,51.93,Norte
183044,Tomate,Hortifruti,2024-05-26,32,11.27,Centro-Oeste
228760,Frango,Carnes,2024-03-07,26,30.08,Norte
476046,Café,Alimentos,2024-06-20,22,3.19,Sudeste
495772,Maçã,Hortifruti,2023-05-18,10,7.6,Sudeste
655596,Carne,Carnes,2024-08-18,34,149.52,Centro-Oeste
805945,Shampoo,Higiene Pessoal,2024-08-09,3,79.95,Norte
294086,Azeite,Alimentos,2023-11-13,3,26.25,Norte
481410,Arroz,Alimentos,2023-02-23,2,7.13,Centro-Oeste
718111,Macarrão,Alimentos,2023-08-05,44,26.96,Sul
404440,Banana,Hortifruti,2023-12-22,1,14.85,Sudeste
747942,Azeite,Alimentos,2023-07-09,37,2.06,Sul
599741,Amaciante,Limpeza,2023-03-09,5,22.28,Sul
332561,Ovos,Alimentos,2024-05-22,46,16.63,Sudeste
201374,Arroz,Alimentos,2022-11-12,42,20.79,Nordeste
738490,Sabão em Pó,Limpeza,2023-07-09,47,21.73,Sudeste
250390,Shampoo,Higiene Pessoal,2023-06-20,26,25.22,Sudeste
229873,Azeite,Alimentos,2023-06-19,33,8.95,Centro-Oeste
326450,Banana,Hortifruti,2023-02-23,48,8.92,Sudeste
933099,Shampoo,Higiene Pessoal,2024-03-08,7,70.55,Nordeste
972046,Arroz,Alimentos,2023-09-14,13,22.72,Nordeste
842477,Ovos,Alimentos,2022-10-30,13,4.03,Centro-Oeste
917055,Arroz,Alimentos,2024-06-26,21,24.89,Nordeste
715733,Leite,Alimentos,2023-03-13,7,27.25,Sudeste
973484,Feijão,Alimentos,2024-01-14,47,5.81,Norte
385319,Tomate,Hortifruti,2022-10-10,25,2.3,Sudeste
200286,Alface,Hortifruti,2024-01-03,33,7.81,Sudeste
173742,Tomate,Hortifruti,2024-08-05,15,13.09,Sudeste
583963,Tomate,Hortifruti,2024-04-15,20,7.19,Centro-Oeste
320072,Ovos,Alimentos,2024-08-02,36,6.76,Centro-Oeste
960188,Ovos,Alimentos,2023-12-17,11,12.07,Norte
433125,Feijão,Alimentos,2024-09-13,19,8.75,Sul
678372,Detergente,Limpeza,2023-06-08,4,6.08,Centro-Oeste
768024,Amaciante,Limpeza,2024-07-22,49,43.97,Centro-Oeste
548338,Condicionador,Higiene Pessoal,2022-11-14,11,68.32,Sul
381822,Maçã,Hortifruti,2024-05-04,37,6.5,Centro-Oeste
561885,Arroz,Alimentos,2023-08-11,45,28.68,Sudeste
147404,Café,Alimentos,2022-12-29,26,7.76,Nordeste
906228,Peixe,Carnes,2024-03-28,25,130.41,Sul
663133,Leite,Alimentos,2023-01-28,11,27.92,Centro-Oeste
873769,Tomate,Hortifruti,2022-11-13,13,13.84,Centro-Oeste
920293,Sabão em Pó,Limpeza,2023-01-31,4,53.83,Centro-Oeste
888087,Leite,Alimentos,2023-03-08,35,8.54,Nordeste
542563,Tomate,Hortifruti,2024-09-26,17,3.74,Nordeste
242257,Leite,Alimentos,2024-05-02,42,13.27,Nordeste
841591,Leite,Alimentos,2022-10-21,41,11.16,Norte
218051,Ovos,Alimentos,2024-08-04,26,2.34,Nordeste
